Job_post_date,company_name,job_title,Number_applicants,Location,working_Place,job_links
3 months ago,Accenture France,Ingénieur Data expérimenté F/H,none,"Nantes, Pays de la Loire, France",On-site,https://www.linkedin.com/jobs/view/2909514139/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=8sTdXkOuI5tea%2FcuafDFSQ%3D%3D&trackingId=VdSeJxLm%2FB9YYoqR3JB5QA%3D%3D&trk=flagship3_search_srp_jobs
none,Agoda,"Analyst or Senior Analyst(Bangkok Based, relocation provided)",none,"Paris, Île-de-France, France",none,https://www.linkedin.com/jobs/view/3042756922/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SKILL_ASSESSMENTS&refId=8sTdXkOuI5tea%2FcuafDFSQ%3D%3D&trackingId=3TC%2FtLlw7Mzci6KDaSNwbA%3D%3D&trk=flagship3_search_srp_jobs
none,Agoda,"Senior Analyst, Partner Development – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)",none,"Paris, Île-de-France, France",none,https://www.linkedin.com/jobs/view/3042763406/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SKILL_ASSESSMENTS&refId=8sTdXkOuI5tea%2FcuafDFSQ%3D%3D&trackingId=v6R6mHKnA7J2z4OEb0Iw3g%3D%3D&trk=flagship3_search_srp_jobs
1 week ago,Avanade,Développeur(euse) Fullstack - Clermont-Ferrand,7 applicants,"Clermont-Ferrand, Auvergne-Rhône-Alpes, France",none,https://www.linkedin.com/jobs/view/2952303871/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=8sTdXkOuI5tea%2FcuafDFSQ%3D%3D&trackingId=SljojSyvSDjcTkD811op%2FA%3D%3D&trk=flagship3_search_srp_jobs
2 months ago,Accenture France,Consultant.e Junior en apprentissage – Accenture Strategy,none,"Paris, Île-de-France, France",none,https://www.linkedin.com/jobs/view/2940003211/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=8sTdXkOuI5tea%2FcuafDFSQ%3D%3D&trackingId=tsuHTMAIJmbpav2w8R2%2BOA%3D%3D&trk=flagship3_search_srp_jobs
1 week ago,Accenture France,Business Analyst - Alternance F/H,17 applicants,"Lille, Hauts-de-France, France",On-site,https://www.linkedin.com/jobs/view/3025968787/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=wXXlpPL6L4MrfG2YyZlR9w%3D%3D&trackingId=9rLcidcyEazPlh2h9S%2Bg6w%3D%3D&trk=flagship3_search_srp_jobs
1 week ago,Avanade,Développeur(euse) Fullstack - Lyon,6 applicants,"Lyon, Auvergne-Rhône-Alpes, France",none,https://www.linkedin.com/jobs/view/2954273156/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=wXXlpPL6L4MrfG2YyZlR9w%3D%3D&trackingId=irsoVesUGuVjlC720iwerg%3D%3D&trk=flagship3_search_srp_jobs
2 weeks ago,Avanade,Développeur(euse) Fullstack - Bordeaux,8 applicants,"Bordeaux, Nouvelle-Aquitaine, France",none,https://www.linkedin.com/jobs/view/2932757702/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=wXXlpPL6L4MrfG2YyZlR9w%3D%3D&trackingId=SjTctgVLS4%2BAFbqiIPwRXA%3D%3D&trk=flagship3_search_srp_jobs
1 week ago,Accenture France,Business Analyst - Alternance F/H,none,"Paris, Île-de-France, France",On-site,https://www.linkedin.com/jobs/view/3025968786/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=wXXlpPL6L4MrfG2YyZlR9w%3D%3D&trackingId=DgFnLGOn6%2B3c2K7JbUnQ3w%3D%3D&trk=flagship3_search_srp_jobs
6 days ago,Accenture France,Consultant Stagiaire – Accenture Strategy & Consulting – Sustainability,22 applicants,"Paris, Île-de-France, France",On-site,https://www.linkedin.com/jobs/view/3036498521/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=wXXlpPL6L4MrfG2YyZlR9w%3D%3D&trackingId=2CTmVDpgEIq4kpVyZ0smJA%3D%3D&trk=flagship3_search_srp_jobs
3 weeks ago,Accenture France,Développeur Angular - F/H,15 applicants,"Nantes, Pays de la Loire, France",On-site,https://www.linkedin.com/jobs/view/2999601581/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=wXXlpPL6L4MrfG2YyZlR9w%3D%3D&trackingId=ifc9IH0NsT%2F%2BP73RhnsXcA%3D%3D&trk=flagship3_search_srp_jobs
1 week ago,NTT DATA Europe & Latam,Platform Architect,2 applicants,"Strasbourg, Grand Est, France",On-site,https://www.linkedin.com/jobs/view/3035585987/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=wXXlpPL6L4MrfG2YyZlR9w%3D%3D&trackingId=gxAHDuty8HaFo3vMKwhTBA%3D%3D&trk=flagship3_search_srp_jobs
2 months ago,Accenture France,Ingénieur VMWare F/H,2 applicants,"Nantes, Pays de la Loire, France",On-site,https://www.linkedin.com/jobs/view/2948756848/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=wXXlpPL6L4MrfG2YyZlR9w%3D%3D&trackingId=zmZC9dAcdVBQwxNqIuKb%2Fw%3D%3D&trk=flagship3_search_srp_jobs
1 month ago,Accenture France,Tech Lead - F/H,1 applicant,"Clermont-Ferrand, Auvergne-Rhône-Alpes, France",On-site,https://www.linkedin.com/jobs/view/3029983519/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=wXXlpPL6L4MrfG2YyZlR9w%3D%3D&trackingId=IU3D3sJE8oxjPFszN1F%2Bdg%3D%3D&trk=flagship3_search_srp_jobs
5 days ago,Avanade,Développeur(euse) Fullstack,13 applicants,"Paris, Île-de-France, France",none,https://www.linkedin.com/jobs/view/2958841568/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=wXXlpPL6L4MrfG2YyZlR9w%3D%3D&trackingId=qy8ls82GTsJZANdMluAvZQ%3D%3D&trk=flagship3_search_srp_jobs
